Annee,AgeQ80,Sexe,PartPopulationMoyenne
1986,70-74 ans,2,0.0104135895556645
1986,75-79 ans,1,-0.00467632114430188
1986,75-79 ans,2,0.00658826673907281
1986,80 ans et plus,1,-0.00329464206567543
1986,80 ans et plus,2,0.00449389674728505
1986,Moins de 5 ans,1,-0.118615985401706
1986,Moins de 5 ans,2,0.123473195099296
1987,05-09 ans,1,-0.116320695845653
1987,05-09 ans,2,0.119061349127248
1987,10-14 ans,1,-0.109640800177592
1987,10-14 ans,2,0.114203921343833
1987,15-19 ans,1,-0.111309479726659
1987,15-19 ans,2,0.114884720721153
1987,20-24 ans,1,-0.105241201815942
1987,20-24 ans,2,0.0998802866751174
1987,25-29 ans,1,-0.0848258920137079
1987,25-29 ans,2,0.0845177893641872
1987,30-34 ans,1,-0.0787802878587684
1987,30-34 ans,2,0.0767000238390667
1987,35-39 ans,1,-0.0623228201251589
1987,35-39 ans,2,0.0603626110272617
1987,40-44 ans,1,-0.0532120209644467
1987,40-44 ans,2,0.0489148827467533
1987,45-49 ans,1,-0.0448184201814374
1987,45-49 ans,2,0.041276428849524
1987,50-54 ans,1,-0.0373135094562703
1987,50-54 ans,2,0.0343437066512167
1987,55-59 ans,1,-0.0272890753015478
1987,55-59 ans,2,0.0255902981680394
1987,60-64 ans,1,-0.0203913541173187
1987,60-64 ans,2,0.020309211823388
1987,65-69 ans,1,-0.0118932117204428
1987,65-69 ans,2,0.0133507873160078
1987,70-74 ans,1,-0.00903832918952178
1987,70-74 ans,2,0.0102966129192927
1987,75-79 ans,1,-0.00523112257492665
1987,75-79 ans,2,0.00646534298481023
1987,80 ans et plus,1,-0.00312649053530059
1987,80 ans et plus,2,0.00498676976981333
1987,Moins de 5 ans,1,-0.119245288395305
1987,Moins de 5 ans,2,0.124855256673287
1988,05-09 ans,1,-0.116099574298378
1988,05-09 ans,2,0.11907990719872
1988,10-14 ans,1,-0.107140289866204
1988,10-14 ans,2,0.111525027183957
1988,15-19 ans,1,-0.10736240163354
1988,15-19 ans,2,0.110968569153425
1988,20-24 ans,1,-0.104190398249209
1988,20-24 ans,2,0.100822072740495
1988,25-29 ans,1,-0.0882677948331615
1988,25-29 ans,2,0.0868862694810214
1988,30-34 ans,1,-0.0789559606769893
1988,30-34 ans,2,0.0761042317908752
1988,35-39 ans,1,-0.0629904052551881
1988,35-39 ans,2,0.0616684446170404
1988,40-44 ans,1,-0.053603212134485
1988,40-44 ans,2,0.0493495320520014
1988,45-49 ans,1,-0.045572032036426
1988,45-49 ans,2,0.0417436559114845
1988,50-54 ans,1,-0.0368913072424466
1988,50-54 ans,2,0.0342842531126959
1988,55-59 ans,1,-0.028718200760837
1988,55-59 ans,2,0.0266872248981292
1988,60-64 ans,1,-0.0202960484545361
1988,60-64 ans,2,0.0203164900280051
1988,65-69 ans,1,-0.0124481656638358
1988,65-69 ans,2,0.0135198902773768
1988,70-74 ans,1,-0.00866487493670084
1988,70-74 ans,2,0.0104525522332325
1988,75-79 ans,1,-0.00542515095814986
1988,75-79 ans,2,0.00656774051779464
1988,80 ans et plus,1,-0.00312240312550894
1988,80 ans et plus,2,0.00509021138682342
1988,Moins de 5 ans,1,-0.120251779874403
1988,Moins de 5 ans,2,0.124933927416922
1989,05-09 ans,1,-0.118301783980588
1989,05-09 ans,2,0.120257252023595
1989,10-14 ans,1,-0.10465070137752
1989,10-14 ans,2,0.108515517220892
1989,15-19 ans,1,-0.10394179758277
1989,15-19 ans,2,0.109325660396666
1989,20-24 ans,1,-0.102981413055461
1989,20-24 ans,2,0.0992550044172355
1989,25-29 ans,1,-0.089655642668317
1989,25-29 ans,2,0.0887477431516776
1989,30-34 ans,1,-0.0797058175000712
1989,30-34 ans,2,0.0768522038762432
1989,35-39 ans,1,-0.0645085230157019
1989,35-39 ans,2,0.0631860540874696
1989,40-44 ans,1,-0.0536999739226345
1989,40-44 ans,2,0.0499878658299439
1989,45-49 ans,1,-0.0468604204755794
1989,45-49 ans,2,0.0422326683372097
1989,50-54 ans,1,-0.0363189675808037
1989,50-54 ans,2,0.0340958685931213
1989,55-59 ans,1,-0.0298852912643202
1989,55-59 ans,2,0.0279119488021547
1989,60-64 ans,1,-0.0202172875022136
1989,60-64 ans,2,0.0200217197045088
1989,65-69 ans,1,-0.0130928172908297
1989,65-69 ans,2,0.0141865185222362
