Annee,Subdivision,AgeQ80,Sexe,PartPopulationMoyenne
1983,Marquises,55-59 ans,1,-0.0275621168801357
1983,Marquises,55-59 ans,2,0.0274612161919993
1983,Marquises,60-64 ans,1,-0.0206716726161379
1983,Marquises,60-64 ans,2,0.0204917247764582
1983,Marquises,65-69 ans,1,-0.0153845611434539
1983,Marquises,65-69 ans,2,0.0162114669047233
1983,Marquises,70-74 ans,1,-0.0132056087295386
1983,Marquises,70-74 ans,2,0.0113754049390361
1983,Marquises,75-79 ans,1,-0.00550769982041993
1983,Marquises,75-79 ans,2,0.00147480781453834
1983,Marquises,80 ans et plus,1,-0.00100044228112394
1983,Marquises,80 ans et plus,2,0.000837458773987613
1983,Marquises,Moins de 5 ans,1,-0.148269946785238
1983,Marquises,Moins de 5 ans,2,0.147295313896014
1983,Australes,05-09 ans,1,-0.146376344211144
1983,Australes,05-09 ans,2,0.14435116000987
1983,Australes,10-14 ans,1,-0.151224397858239
1983,Australes,10-14 ans,2,0.153019084508069
1983,Australes,15-19 ans,1,-0.129772126185042
1983,Australes,15-19 ans,2,0.132570565513465
1983,Australes,20-24 ans,1,-0.0844727301138205
1983,Australes,20-24 ans,2,0.0881687823231666
1983,Australes,25-29 ans,1,-0.0734725987888178
1983,Australes,25-29 ans,2,0.0700870185055645
1983,Australes,30-34 ans,1,-0.0525579284561333
1983,Australes,30-34 ans,2,0.043653392683763
1983,Australes,35-39 ans,1,-0.0431170737464696
1983,Australes,35-39 ans,2,0.0386628695155203
1983,Australes,40-44 ans,1,-0.0402486198407144
1983,Australes,40-44 ans,2,0.0380212085543914
1983,Australes,45-49 ans,1,-0.0368959257664643
1983,Australes,45-49 ans,2,0.0345359937598059
1983,Australes,50-54 ans,1,-0.0335148056473076
1983,Australes,50-54 ans,2,0.031312009613728
1983,Australes,55-59 ans,1,-0.0234873105138132
1983,Australes,55-59 ans,2,0.0217058920669048
1983,Australes,60-64 ans,1,-0.0161078427624131
1983,Australes,60-64 ans,2,0.0155818717849902
1983,Australes,65-69 ans,1,-0.0144730958290182
1983,Australes,65-69 ans,2,0.0148115668786679
1983,Australes,70-74 ans,1,-0.0100417081559476
1983,Australes,70-74 ans,2,0.00781289613830682
1983,Australes,75-79 ans,1,-0.00567290765192557
1983,Australes,75-79 ans,2,0.0104274032325665
1983,Australes,80 ans et plus,1,-0.00449680082319166
1983,Australes,80 ans et plus,2,0.00201676662475423
1983,Australes,Moins de 5 ans,1,-0.138629997622851
1983,Australes,Moins de 5 ans,2,0.148350217048835
1983,Tuamotu-Gambier,05-09 ans,1,-0.106461242766991
1983,Tuamotu-Gambier,05-09 ans,2,0.148961336251831
1983,Tuamotu-Gambier,10-14 ans,1,-0.100480935916512
1983,Tuamotu-Gambier,10-14 ans,2,0.136156419798507
1983,Tuamotu-Gambier,15-19 ans,1,-0.087751808047285
1983,Tuamotu-Gambier,15-19 ans,2,0.104605994089074
1983,Tuamotu-Gambier,20-24 ans,1,-0.132969773425295
1983,Tuamotu-Gambier,20-24 ans,2,0.0921118700326165
1983,Tuamotu-Gambier,25-29 ans,1,-0.122675037617144
1983,Tuamotu-Gambier,25-29 ans,2,0.0707278776972425
1983,Tuamotu-Gambier,30-34 ans,1,-0.0889057250920241
1983,Tuamotu-Gambier,30-34 ans,2,0.0519484176637328
1983,Tuamotu-Gambier,35-39 ans,1,-0.0625433871194297
1983,Tuamotu-Gambier,35-39 ans,2,0.0406581976928384
1983,Tuamotu-Gambier,40-44 ans,1,-0.0505703780286612
1983,Tuamotu-Gambier,40-44 ans,2,0.0397692108649468
1983,Tuamotu-Gambier,45-49 ans,1,-0.0484499851489689
1983,Tuamotu-Gambier,45-49 ans,2,0.0355617735188061
1983,Tuamotu-Gambier,50-54 ans,1,-0.0359605362037306
1983,Tuamotu-Gambier,50-54 ans,2,0.0365729196859458
1983,Tuamotu-Gambier,55-59 ans,1,-0.0246879187187417
1983,Tuamotu-Gambier,55-59 ans,2,0.0231199241406368
1983,Tuamotu-Gambier,60-64 ans,1,-0.0159206803381567
1983,Tuamotu-Gambier,60-64 ans,2,0.0212075752116807
1983,Tuamotu-Gambier,65-69 ans,1,-0.0136608132823581
1983,Tuamotu-Gambier,65-69 ans,2,0.0181605722641504
1983,Tuamotu-Gambier,70-74 ans,1,-0.00787924932061025
1983,Tuamotu-Gambier,70-74 ans,2,0.010323178084678
1983,Tuamotu-Gambier,75-79 ans,1,-0.00485435755501874
1983,Tuamotu-Gambier,75-79 ans,2,0.0066599843921613
1983,Tuamotu-Gambier,80 ans et plus,1,-0.00117047895213333
1983,Tuamotu-Gambier,80 ans et plus,2,0.00115297791946146
1983,Tuamotu-Gambier,Moins de 5 ans,1,-0.0979564949941635
1983,Tuamotu-Gambier,Moins de 5 ans,2,0.159600859430614
1984,Iles Du Vent,05-09 ans,1,-0.112668175979277
1984,Iles Du Vent,05-09 ans,2,0.117754274813969
1984,Iles Du Vent,10-14 ans,1,-0.112060881453362
1984,Iles Du Vent,10-14 ans,2,0.121303691928058
1984,Iles Du Vent,15-19 ans,1,-0.109374235485838
1984,Iles Du Vent,15-19 ans,2,0.116610571224573
1984,Iles Du Vent,20-24 ans,1,-0.105599947603788
1984,Iles Du Vent,20-24 ans,2,0.0961068335863285
1984,Iles Du Vent,25-29 ans,1,-0.0901473548735174
1984,Iles Du Vent,25-29 ans,2,0.101603216421028
1984,Iles Du Vent,30-34 ans,1,-0.0769539714079126
1984,Iles Du Vent,30-34 ans,2,0.0743840820726257
1984,Iles Du Vent,35-39 ans,1,-0.0639423480855077
1984,Iles Du Vent,35-39 ans,2,0.0596277923474051
1984,Iles Du Vent,40-44 ans,1,-0.0568538950432369
1984,Iles Du Vent,40-44 ans,2,0.0495742134624543
1984,Iles Du Vent,45-49 ans,1,-0.0426255647012314
1984,Iles Du Vent,45-49 ans,2,0.039926250336547
1984,Iles Du Vent,50-54 ans,1,-0.0369728781596219
1984,Iles Du Vent,50-54 ans,2,0.0340912483376082
1984,Iles Du Vent,55-59 ans,1,-0.0242562530899706
1984,Iles Du Vent,55-59 ans,2,0.024168614288805
1984,Iles Du Vent,60-64 ans,1,-0.0168290022214555
1984,Iles Du Vent,60-64 ans,2,0.0172221053593421
1984,Iles Du Vent,65-69 ans,1,-0.0110805450281219
1984,Iles Du Vent,65-69 ans,2,0.012324022774509
1984,Iles Du Vent,70-74 ans,1,-0.00809837709217766
1984,Iles Du Vent,70-74 ans,2,0.00983724656121586
1984,Iles Du Vent,75-79 ans,1,-0.00352771022337729
1984,Iles Du Vent,75-79 ans,2,0.00585597097577853
1984,Iles Du Vent,80 ans et plus,1,-0.00237930958979531
1984,Iles Du Vent,80 ans et plus,2,0.00314482587053438
1984,Iles Du Vent,Moins de 5 ans,1,-0.123952176842268
1984,Iles Du Vent,Moins de 5 ans,2,0.12861104864879
1984,Iles Sous-Le-Vent,05-09 ans,1,-0.121435073324008
1984,Iles Sous-Le-Vent,05-09 ans,2,0.119244639435718
1984,Iles Sous-Le-Vent,10-14 ans,1,-0.102808094852465
1984,Iles Sous-Le-Vent,10-14 ans,2,0.123828411727443
1984,Iles Sous-Le-Vent,15-19 ans,1,-0.119078114846576
1984,Iles Sous-Le-Vent,15-19 ans,2,0.119939582544979
1984,Iles Sous-Le-Vent,20-24 ans,1,-0.099923502017467
1984,Iles Sous-Le-Vent,20-24 ans,2,0.0950819334221524
1984,Iles Sous-Le-Vent,25-29 ans,1,-0.0830315760380452
1984,Iles Sous-Le-Vent,25-29 ans,2,0.0858169650777089
1984,Iles Sous-Le-Vent,30-34 ans,1,-0.0724603106418299
1984,Iles Sous-Le-Vent,30-34 ans,2,0.0734300820719221
1984,Iles Sous-Le-Vent,35-39 ans,1,-0.0625452477692283
1984,Iles Sous-Le-Vent,35-39 ans,2,0.0595855782729475
1984,Iles Sous-Le-Vent,40-44 ans,1,-0.0563246321025132
1984,Iles Sous-Le-Vent,40-44 ans,2,0.0500870591728508
1984,Iles Sous-Le-Vent,45-49 ans,1,-0.042799463900186
1984,Iles Sous-Le-Vent,45-49 ans,2,0.0398865251261792
1984,Iles Sous-Le-Vent,50-54 ans,1,-0.0324094355367124
1984,Iles Sous-Le-Vent,50-54 ans,2,0.028763621441369
1984,Iles Sous-Le-Vent,55-59 ans,1,-0.0257276126524407
1984,Iles Sous-Le-Vent,55-59 ans,2,0.0246777440876562
1984,Iles Sous-Le-Vent,60-64 ans,1,-0.0185501029754135
1984,Iles Sous-Le-Vent,60-64 ans,2,0.0179799779917844
1984,Iles Sous-Le-Vent,65-69 ans,1,-0.0119087998838936
1984,Iles Sous-Le-Vent,65-69 ans,2,0.0124175589601122
1984,Iles Sous-Le-Vent,70-74 ans,1,-0.00915570380527224
1984,Iles Sous-Le-Vent,70-74 ans,2,0.0100740084612536
1984,Iles Sous-Le-Vent,75-79 ans,1,-0.00391563966761873
1984,Iles Sous-Le-Vent,75-79 ans,2,0.00605548193909529
1984,Iles Sous-Le-Vent,80 ans et plus,1,-0.0025143625810658
1984,Iles Sous-Le-Vent,80 ans et plus,2,0.00335617808277228
1984,Iles Sous-Le-Vent,Moins de 5 ans,1,-0.135412327405264
1984,Iles Sous-Le-Vent,Moins de 5 ans,2,0.129774652184055
1984,Marquises,05-09 ans,1,-0.134677864817811
1984,Marquises,05-09 ans,2,0.142644483330938
1984,Marquises,10-14 ans,1,-0.13656026684586
1984,Marquises,10-14 ans,2,0.143118295994906
1984,Marquises,15-19 ans,1,-0.12909009750131
1984,Marquises,15-19 ans,2,0.130761880303622
1984,Marquises,20-24 ans,1,-0.0809586599950372
1984,Marquises,20-24 ans,2,0.0847849190780811
1984,Marquises,25-29 ans,1,-0.0686302466785319
1984,Marquises,25-29 ans,2,0.0692776424084562
1984,Marquises,30-34 ans,1,-0.0551728589628712
1984,Marquises,30-34 ans,2,0.054216946235225
1984,Marquises,35-39 ans,1,-0.0476234513424268
1984,Marquises,35-39 ans,2,0.0424049935499439
1984,Marquises,40-44 ans,1,-0.0423160160878248
1984,Marquises,40-44 ans,2,0.045722583925122
1984,Marquises,45-49 ans,1,-0.0401790776986629
1984,Marquises,45-49 ans,2,0.0365931800913738
1984,Marquises,50-54 ans,1,-0.0355879661164415
1984,Marquises,50-54 ans,2,0.0326009623595537
1984,Marquises,55-59 ans,1,-0.0264001491884898
1984,Marquises,55-59 ans,2,0.0256531978049069
1984,Marquises,60-64 ans,1,-0.0217295578729565
1984,Marquises,60-64 ans,2,0.0223465634176767
1984,Marquises,65-69 ans,1,-0.0144787123494443
1984,Marquises,65-69 ans,2,0.0151155662857109
1984,Marquises,70-74 ans,1,-0.0121067956499997
1984,Marquises,70-74 ans,2,0.0113659132253292
1984,Marquises,75-79 ans,1,-0.00589832179851006
1984,Marquises,75-79 ans,2,0.00376818355851571
1984,Marquises,80 ans et plus,1,-0.00177909849619515
1984,Marquises,80 ans et plus,2,0.00134902928143327
1984,Marquises,Moins de 5 ans,1,-0.146810858597627
1984,Marquises,Moins de 5 ans,2,0.138275659149206
1984,Australes,05-09 ans,1,-0.140859937285364
1984,Australes,05-09 ans,2,0.144702546487133
1984,Australes,10-14 ans,1,-0.138170691463711
1984,Australes,10-14 ans,2,0.151635049479932
1984,Australes,15-19 ans,1,-0.132342217575752
1984,Australes,15-19 ans,2,0.135565277239103
1984,Australes,20-24 ans,1,-0.0988990731065009
1984,Australes,20-24 ans,2,0.0863398723934986
1984,Australes,25-29 ans,1,-0.0734852074395899
1984,Australes,25-29 ans,2,0.0724523865821682
1984,Australes,30-34 ans,1,-0.0534225786199554
1984,Australes,30-34 ans,2,0.0506181447427349
1984,Australes,35-39 ans,1,-0.0431541951607084
1984,Australes,35-39 ans,2,0.0383907711231683
1984,Australes,40-44 ans,1,-0.0370827324498383
1984,Australes,40-44 ans,2,0.0379798949614086
1984,Australes,45-49 ans,1,-0.036767196604259
1984,Australes,45-49 ans,2,0.0364235569855783
1984,Australes,50-54 ans,1,-0.0325312609729358
1984,Australes,50-54 ans,2,0.0330900282153927
